1,2
1.873, 1.89
0.688, 0.69
0.659, 0.69
0.601, 0.69
0.489, 0.49
0.492, 0.49
0.431, 0.49
0.445, 0.49
0.514, 0.59
0.48, 0.9
0.435, 0.49
0.597, 0.59
0.59, 0.9
0.569, 0.59
1.066, 1.09
0.735, 0.79
0.892, 0.89
0.663, 0.69
0.646, 0.69
0.679, 0.69
0.85, 0.9
0.64, 0.9
1.018, 1.09
3.728, 3.79
3.686, 3.69
3.736, 3.79
3.035, 3.09
3.031, 3.09
2.71, 2.9
2.679, 2.69
3.284, 3.29
3.377, 3.39
2.972, 2.99
3.006, 3.09
0.873, 0.89
0.688, 0.69
0.659, 0.69
0.601, 0.69
0.489, 0.49
0.492, 0.49
0.431, 0.49
0.445, 0.49
0.514, 0.59
0.48, 0.9
0.435, 0.49
0.597, 0.59
0.59, 0.9
0.569, 0.59
1.066, 1.09
0.735, 0.79
0.892, 0.89
0.663, 0.69
0.646, 0.69
0.679, 0.69
0.85, 0.9
0.64, 0.9
1.018, 1.09
3.728, 3.79
3.686, 3.69
3.736, 3.79
3.035, 3.09
3.031, 3.09
2.71, 2.9
2.679, 2.69
3.284, 3.29
3.377, 3.39
2.972, 2.99
3.006, 3.09
0.873, 0.89
0.688, 0.69
0.659, 0.69
0.601, 0.69
0.489, 0.49
0.492, 0.49
0.431, 0.49
0.445, 0.49
0.514, 0.59
0.48, 0.9
0.435, 0.49
0.597, 0.59
0.59, 0.9
0.569, 0.59
1.066, 1.09
0.735, 0.79
0.892, 0.89
0.663, 0.69
0.646, 0.69
0.679, 0.69
0.85, 0.9
0.64, 0.9
1.018, 1.09
3.728, 3.79
3.686, 3.69
3.736, 3.79
3.035, 3.09
3.031, 3.09
2.71, 2.9
2.679, 2.69
3.284, 3.29
3.377, 3.39
2.972, 2.99
3.006, 3.09
3.728, 3.79
3.686, 3.69
3.736, 3.79
3.035, 3.09
3.031, 3.09
2.71, 2.9
2.679, 2.69
3.284, 3.29
3.377, 3.39
2.972, 2.99
3.006, 3.09
