777027,2022566,222,1,(2009) (Switzerland) (TV) (co-production)
1,2,1,1,(2006) (USA) (TV)
2,2,1,1,(2006) (worldwide) (TV)
3,11,2,1,(2012) (worldwide) (all media)
4,44,3,1,(2013) (USA) (all media)
5,50,4,1,(2011) (UK) (TV)
6,50,5,1,(2010-2011) (Canada) (TV)
7,50,6,1,(2010-2011) (USA) (TV)
8,50,7,1,(2011) (Australia) (TV)
9,50,8,1,(2011) (Netherlands) (TV)
10,50,9,1,(2011) (Brazil) (TV)
11,51,4,1,(2011) (UK) (TV)
12,51,5,1,(2010) (Canada) (TV)
13,51,6,1,(2010) (USA) (TV)
14,51,7,1,(2011) (Australia) (TV)
15,51,8,1,(2011) (Netherlands) (TV)
16,51,9,1,(2011) (Brazil) (TV)
17,52,4,1,(2011) (UK) (TV)
18,52,5,1,(2011) (Canada) (TV)
19,52,6,1,(2011) (USA) (TV)
20,52,8,1,(2011) (Netherlands) (TV)
21,53,4,1,(2011) (UK) (TV)
22,53,5,1,(2010) (Canada) (TV)
23,53,6,1,(2010) (USA) (TV)
24,53,8,1,(2011) (Netherlands) (TV)
25,54,4,1,(2011) (UK) (TV)
26,54,5,1,(2010) (Canada) (TV)
27,54,6,1,(2010) (USA) (TV)
28,54,7,1,(2011) (Australia) (TV)
29,54,8,1,(2011) (Netherlands) (TV)
30,54,9,1,(2011) (Brazil) (TV)
31,55,4,1,(2011) (UK) (TV)
32,55,5,1,(2011) (Canada) (TV)
33,55,6,1,(2011) (USA) (TV)
34,55,8,1,(2011) (Netherlands) (TV)
35,56,4,1,(2011) (UK) (TV)
36,56,5,1,(2010) (Canada) (TV)
37,56,6,1,(2010) (USA) (TV)
38,56,8,1,(2011) (Netherlands) (TV)
39,57,4,1,(2011) (UK) (TV)
40,57,5,1,(2011) (Canada) (TV)
41,57,6,1,(2011) (USA) (TV)
42,57,8,1,(2011) (Netherlands) (TV)
43,58,4,1,(2011) (UK) (TV)
44,58,5,1,(2011) (Canada) (TV)
45,58,6,1,(2011) (USA) (TV)
46,58,8,1,(2011) (Netherlands) (TV)
47,59,4,1,(2011) (UK) (TV)
48,59,5,1,(2010) (Canada) (TV)
49,59,6,1,(2010) (USA) (TV)
50,59,8,1,(2011) (Netherlands) (TV)
51,60,4,1,(2011) (UK) (TV)
52,60,5,1,(2010) (Canada) (TV)
53,60,6,1,(2010) (USA) (TV)
54,60,7,1,(2011) (Australia) (TV)
55,60,8,1,(2011) (Netherlands) (TV)
56,60,9,1,(2011) (Brazil) (TV)
57,61,4,1,(2011) (UK) (TV)
58,61,5,1,(2010) (Canada) (TV)
59,61,6,1,(2010) (USA) (TV)
60,61,7,1,(2011) (Australia) (TV)
61,61,8,1,(2011) (Netherlands) (TV)
62,61,9,1,(2011) (Brazil) (TV)
63,62,4,1,(2011) (UK) (TV)
64,62,5,1,(2011) (Canada) (TV)
65,62,6,1,(2011) (USA) (TV)
66,62,8,1,(2011) (Netherlands) (TV)
67,63,4,1,(2011) (UK) (TV)
68,63,5,1,(2010) (Canada) (TV)
69,63,6,1,(2010) (USA) (TV)
70,63,8,1,(2011) (Netherlands) (TV)
71,64,4,1,(2011) (UK) (TV)
72,64,5,1,(2010) (Canada) (TV)
73,64,6,1,(2010) (USA) (TV)
74,64,7,1,(2011) (Australia) (TV)
75,64,8,1,(2011) (Netherlands) (TV)
76,64,9,1,(2011) (Brazil) (TV)
